datetime;operation_system;cpu_percent;gpu_percent;ram_percent;disk_percent;cpu_temperature;gpu_temperature;mac_address
2025-10-17 20:45:13;Windows;16.2;22.22;49.9;60.0;37.53;46.87;c8:7f:54:d1:2b:11
2025-10-17 20:45:23;Windows;13.9;14.21;41.6;60.0;41.77;44.57;b4:6e:3f:a2:1c:88
2025-10-17 20:45:33;Windows;13.1;6.87;47.4;60.0;35.47;49.3;d2:9a:74:c0:9e:42
2025-10-17 20:45:43;Windows;13.2;19.01;40.7;60.0;36.75;40.66;f8:5c:2b:d3:6a:7f
2025-10-17 20:45:53;Windows;19.6;12.02;45.4;60.0;36.71;46.49;c8:7f:54:d1:2b:11
2025-10-17 20:46:03;Windows;18.6;9.65;44.4;60.0;35.61;44.95;b4:6e:3f:a2:1c:88
2025-10-17 20:46:13;Windows;14.7;10.19;46.1;60.0;38.79;42.18;d2:9a:74:c0:9e:42
2025-10-17 20:46:23;Windows;13.4;9.02;48.1;60.0;42.5;43.01;f8:5c:2b:d3:6a:7f
2025-10-17 20:46:33;Windows;18.3;13.77;44.6;60.0;39.86;47.49;c8:7f:54:d1:2b:11
2025-10-17 20:46:43;Windows;10.1;21.97;42.5;60.0;40.33;45.47;b4:6e:3f:a2:1c:88
2025-10-17 20:46:53;Windows;19.0;6.89;44.9;60.0;36.08;47.92;d2:9a:74:c0:9e:42
2025-10-17 20:47:03;Windows;16.4;11.94;45.2;60.0;39.19;46.13;f8:5c:2b:d3:6a:7f
2025-10-17 20:47:13;Windows;17.6;24.82;41.7;60.0;39.02;49.61;c8:7f:54:d1:2b:11
2025-10-17 20:47:23;Windows;14.5;22.98;42.5;60.0;38.48;47.36;b4:6e:3f:a2:1c:88
2025-10-17 20:47:33;Windows;10.1;19.0;49.1;60.0;36.05;49.35;d2:9a:74:c0:9e:42
2025-10-17 20:47:43;Windows;10.4;22.44;43.9;60.0;44.79;46.77;f8:5c:2b:d3:6a:7f
2025-10-17 20:47:53;Windows;16.5;19.17;40.0;60.0;36.23;47.74;c8:7f:54:d1:2b:11
2025-10-17 20:48:03;Windows;14.4;13.61;47.2;60.0;44.56;42.05;b4:6e:3f:a2:1c:88
2025-10-17 20:48:13;Windows;18.1;9.7;46.5;60.0;43.02;48.38;d2:9a:74:c0:9e:42
2025-10-17 20:48:23;Windows;19.8;10.32;41.0;60.0;42.15;37.12;f8:5c:2b:d3:6a:7f
2025-10-17 20:48:33;Windows;12.0;18.25;44.1;60.0;36.86;39.61;c8:7f:54:d1:2b:11
2025-10-17 20:48:43;Windows;10.8;10.99;46.8;60.0;36.6;47.39;b4:6e:3f:a2:1c:88
